layout,pitch_ratio,baffle_ratio,U,A_provided,dP_shell_kPa,dP_tube_kPa,Ds_mm,Nt,Nb,Re_shell,ho
square,1.33,0.7999999999999998,285.1834950581653,28.037281867038867,4.6632140056667915,1.8261170915937937,364.2905414614367,96,15.744876151679438,1355.4791579597638,411.3518962554025
square,1.33,0.8499999999999999,274.09527657062944,29.205501944832157,3.736016932699886,1.6968954289406555,369.94089220745616,100,14.519172363807481,1237.0721126378585,391.1827527917053
square,1.33,0.8999999999999999,263.8695470434196,30.373722022625444,3.02803305665384,1.5814763635391773,375.4652639906259,104,13.441341829047593,1134.2181246856157,372.9456620630694
square,1.33,0.9499999999999997,254.40648796804558,31.541942100418723,2.4798631346429474,1.4779303096230527,380.871154773351,108,12.487086225576716,1044.2364559588486,356.3705500984453
square,1.33,0.9999999999999998,245.62149798179775,32.71016217821201,2.050090934421826,1.3846562988289823,386.1653575530395,112,11.637073483034369,965.0104124728085,341.2361544412295
square,1.5,0.2,436.74786844411454,18.691521244692577,132.54025953294743,3.8002615670257174,313.3110768121692,64,76.87787220375826,8123.951936458024,739.6867089718535
square,1.5,0.25,392.2546167223999,20.443851361382507,63.71131926488721,3.230070804351648,323.8145359433094,70,59.281419866269964,6084.377481654251,630.9495833812476
square,1.5,0.3,353.3002784948534,22.78029151696908,33.4325835471672,2.655497809893155,337.05826676603704,78,47.260696355974204,4679.695749151533,546.1292850489638
square,1.5,0.35,324.7103773529483,24.53262163365901,19.81527627258008,2.3228090285459477,346.4956803769388,84,39.23962759850069,3795.641142388549,486.7238248701678
square,1.5,0.39999999999999997,298.11318064096577,26.86906178924558,12.152804452587263,1.9714846422747598,358.5059028128335,92,33.03012308661847,3102.3888196368835,435.6208919136345
square,1.5,0.44999999999999996,275.687910290209,29.205501944832157,7.858503971789213,1.6968954289406555,369.94089220745616,100,28.31399224274746,2589.8323200345444,394.4347600990602
square,1.5,0.49999999999999994,258.4663355932638,30.957832061522083,5.435454907820192,1.5283261252100224,378.18257953856636,106,24.80764035167488,2230.3642512810056,363.3142755735612
square,1.5,0.5499999999999999,241.61322496418472,33.294272217108656,3.7900267232611786,1.3414444787696123,388.7725281613874,114,21.82241318513129,1918.646705982709,334.4437096970541
square,1.5,0.5999999999999999,228.4429250411668,35.04660233379858,2.7820760199355608,1.2237866230278422,396.442865747254,120,19.515776763955227,1691.3612457995255,312.03677572569836
square,1.5,0.6499999999999999,215.2716794800118,37.383042489385154,2.0446245121562807,1.090490224662639,406.34108433419146,128,17.47633083913729,1486.1204568581131,290.60660580374974
square,1.5,0.7,204.84632857629734,39.13537260607509,1.5662103868301402,1.0049062680446406,413.5379913083399,134,15.858012366342841,1332.3550476725943,273.6634260101507
square,1.5,0.7499999999999998,195.4231654397581,40.88770272276501,1.2199403991994087,0.9294510999073842,420.5555034971205,140,14.47160032994603,1202.3777603327085,258.6415470730008
square,1.5,0.7999999999999998,185.77639999567825,43.224142878351586,0.9466024619499002,0.8419396591011171,429.65348649300176,148,13.197487491118865,1079.9960618299212,243.8136239784926
square,1.5,0.8499999999999999,178.03825297303044,44.97647299504152,0.7585169287381017,0.7845319097717282,436.2965116863186,154,12.158886942272725,985.7491978304279,231.87146876539498
square,1.5,0.8999999999999999,170.93969719665708,46.72880311173145,0.6148571745238579,0.7330709659091385,442.7952329273921,160,11.245439469560276,903.8585210227269,221.07061854966918
square,1.5,0.9499999999999997,163.5507581762254,49.06524326731802,0.4954183056782992,0.6723292372632178,451.25008611502267,168,10.383581440367392,824.4999593301454,210.1747920750195
square,1.5,0.9999999999999998,157.56609904022582,50.81757338400794,0.4098099252303941,0.6318276769185521,457.443356612994,174,9.667987477471613,762.2092059652656,201.28739512840554
